title,venue,date,description,links
"Fordham Law School Symposium","Fordham Journal of Corporate & Financial Law · Vol. 20, 2015","2015","<strong>JOBS Act: The Terrible Twos - General Solicitation & Crowdfunding, The Next Frontier of Securities Regulation</strong><br><br>Panelist alongside SEC Commissioner Troy A. Paredes, Congressman Patrick McHenry, and other leading securities law experts. Examined general solicitation rules and crowdfunding regulations two years after the JOBS Act passage, providing industry perspective on regulatory implementation challenges.","📄 Published Symposium|https://ir.lawnet.fordham.edu/jcfl/vol20/iss2/7/"
"Connecticut Bar Association CLE Program","Technology Law Committee","2012-2013","Featured panelist at CLE program about the federal ""Jumpstarting Our Business Startups"" (JOBS) Act. Panel held at Carmen Anthony Steakhouse in New Haven, attended by 28 attorneys. Spoke as representative of RocketHub.com (one of the online exchanges seeking approval) about lobbying in support of the JOBS Act. Joined by Henry M. Beck Jr. (Halloran & Sage LLP) discussing SEC regulation pitfalls and patent agent Mark Nowotarski on crowdfunding success stories.","📄 CBA Annual Report|https://www.ctbar.org/docs/default-source/publications/annual-reports/2012-2013_annual_report.pdf"
