name,url
"NYU Profile","https://engineering.nyu.edu/faculty/alon-hillel-tuch"
"Google Scholar","https://scholar.google.com/citations?hl=en&user=yxEpRBIAAAAJ"
"LinkedIn","https://www.linkedin.com/in/ahillelt/"
"GitHub","https://github.com/ahillelt"
"X (Twitter)","https://x.com/ahillelt"
