name,role,dates,description,achievements
"RocketHub","Co-Founder, CFO & CTO","2010 - 2015 · Acquired","Co-founded one of the first global crowdfunding platforms, pioneering equity crowdfunding under the JOBS Act. Facilitated over $50M in funding across 30,000+ projects serving 500K+ users.","Built secure fintech platform with zero major security incidents|Developed compliance frameworks for emerging crowdfunding regulations|Designed fraud detection and AML systems|Led partnerships with White House, U.S. State Department, Microsoft, Cisco, Chrysler, and Fulbright Foundation|Successfully exited through acquisition in 2015"
"Stacked Capital","Managing Partner","2015 - Present","Early-stage venture capital focused on deep tech: hardware, AI infrastructure, and resilient systems. Invested in companies building critical technologies at the intersection of security, scalability, and societal impact.","Hardware security and embedded systems|AI/ML infrastructure and operational safety|Critical infrastructure resilience|Developer tools and security-by-default platforms"
