title,date,video_src,video_type,description,links
"NPR Morning Edition","May 9, 2014","https://player.vimeo.com/video/133615381","vimeo","Featured on NPR's Morning Edition arguing that overly strict SEC auditing requirements would place ""too big a financial burden"" on startups and could ""limit the rate we're able to domestically innovate and create jobs."" While promoting the need for consumer protections and privacy rights.","🎙️ Listen on NPR|https://www.npr.org/2014/05/09/310832193/crowdfunding-can-help-build-business-but-at-what-cost"
"CCTV International","International Coverage","https://player.vimeo.com/video/133625379","vimeo","International television interview discussing crowdfunding innovation, global market trends, and the democratization of access to capital for entrepreneurs worldwide.",""
